"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"dynamicProperties","dynamicProperties","dynamicProperties","dynamicProperties","Dynamic Properties","dynamicProperties","","http://rs.tdwg.org/dwc/terms/dynamicProperties"
"identifier","identifier","dcterms:identifier","identifier","","identifier","",""
"provenance","provenance","dcterms:provenance","provenance","Provenance","provenance","","Provenance of this dataset. e.g. Published dataset, Draft, Individual sightings"
"rights","rights","dcterms:rights","rights","","rights","",""
"source","source","dcterms:source","source","","source","",""
"dcterms:type","type","dcterms:type","type","","type","",""
"occurrenceID","occurrenceID","occurrenceID","occurrenceID","Occurrence ID","occurrenceID","","http://rs.tdwg.org/dwc/terms/occurrenceID"
"catalogNumber","catalogNumber","catalogNumber","catalogNumber","Catalogue Number","catalogNumber","Catalogue Number","http://rs.tdwg.org/dwc/terms/catalogNumber"
"recordNumber","recordNumber","recordNumber","recordNumber","Record number","recordNumber","Record number","http://rs.tdwg.org/dwc/terms/recordNumber"
"recordedBy","recordedBy","recordedBy","recordedBy","recordedBy","recordedBy","Collector","The collector for the occurrence. http://rs.tdwg.org/dwc/terms/recordedBy"
"individualCount","individualCount","individualCount","individualCount","Individual count","individualCount","Individual count","http://rs.tdwg.org/dwc/terms/individualCount"
"organismQuantity","organismQuantity","organismQuantity","organismQuantity","Organism Quantity","organismQuantity","","http://rs.tdwg.org/dwc/terms/organismQuantity"
"organismQuantityType","organismQuantityType","organismQuantityType","organismQuantityType","Organism Quantity Type","organismQuantityType","","http://rs.tdwg.org/dwc/terms/organismQuantityType"
"sex","sex","sex","sex","Sex","sex","Sex","The sex of the biological individual(s) represented in the Occurrence http://rs.tdwg.org/dwc/terms/sex"
"lifeStage","lifeStage","lifeStage","lifeStage","Life stage","lifeStage","","http://rs.tdwg.org/dwc/terms/lifeStage"
"reproductiveCondition","reproductiveCondition","reproductiveCondition","reproductiveCondition","Reproductive condition","reproductiveCondition","","http://rs.tdwg.org/dwc/terms/reproductiveCondition"
"behavior","behavior","behavior","behavior","Behavior","behavior","","http://rs.tdwg.org/dwc/terms/behavior"
"establishmentMeans","establishmentMeans","establishmentMeans","establishmentMeans","Establishment means","establishmentMeans","","http://rs.tdwg.org/dwc/terms/establishmentMeans"
"occurrenceStatus","occurrenceStatus","occurrenceStatus","occurrenceStatus","Presence/Absence","occurrenceStatus","Occurrence status","A statement about the presence or absence of a taxon at a Location http://rs.tdwg.org/dwc/terms/occurrenceStatus"
"preparations","preparations","preparations","preparations","Preparations","preparations","Preparations","http://rs.tdwg.org/dwc/terms/preparations"
"disposition","disposition","disposition","disposition","Disposition","disposition","","http://rs.tdwg.org/dwc/terms/disposition"
"associatedMedia","associatedMedia","associatedMedia","associatedMedia","Associated Media","associatedMedia","","http://rs.tdwg.org/dwc/terms/associatedMedia"
"associatedReferences","associatedReferences","associatedReferences","associatedReferences","Associated References","associatedReferences","","http://rs.tdwg.org/dwc/terms/associatedReferences"
"associatedTaxa","associatedTaxa","associatedTaxa","associatedTaxa","Associated Taxa","associatedTaxa","","http://rs.tdwg.org/dwc/terms/associatedTaxa"
"otherCatalogNumbers","otherCatalogNumbers","otherCatalogNumbers","otherCatalogNumbers","Other Catalog Numbers","otherCatalogNumbers","","http://rs.tdwg.org/dwc/terms/otherCatalogNumbers"
"occurrenceRemarks","occurrenceRemarks","occurrenceRemarks","occurrenceRemarks","Occurrence Remarks","occurrenceRemarks","","http://rs.tdwg.org/dwc/terms/occurrenceRemarks"
"organismID","organismID","organismID","organismID","Organism ID","organismID","","http://rs.tdwg.org/dwc/terms/organismID"
"associatedOccurrences","associatedOccurrences","associatedOccurrences","associatedOccurrences","Associated Occurrences","associatedOccurrences","","http://rs.tdwg.org/dwc/terms/associatedOccurrences"
"georeferenceVerificationStatus","georeferenceVerificationStatus","georeferenceVerificationStatus","georeferenceVerificationStatus","Georeference Verification Status","georeferenceVerificationStatus","","http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus"
"recordedByID","recordedByID","recordedByID","recordedByID","recorded by ID","recordedByID","Recorded by ID","http://rs.tdwg.org/dwc/terms/recordedByID"
"recordID","id","recordID","id","Record ID","id","Record ID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"degreeOfEstablishment","degreeOfEstablishment","degreeOfEstablishment","degreeOfEstablishment","","degreeOfEstablishment","","http://rs.tdwg.org/dwc/terms/degreeOfEstablishment"
"locationID","locationID","locationID","locationID","Location ID","locationID","","http://rs.tdwg.org/dwc/terms/locationID"
"higherGeographyID","higherGeographyID","higherGeographyID","higherGeographyID","Higher Geography ID","higherGeographyID","","http://rs.tdwg.org/dwc/terms/higherGeographyID"
"continent","continent","continent","continent","Continent","continent","","http://rs.tdwg.org/dwc/terms/continent"
"waterBody","waterBody","waterBody","waterBody","Water Body","waterBody","","http://rs.tdwg.org/dwc/terms/waterBody"
"islandGroup","islandGroup","islandGroup","islandGroup","Island Group","islandGroup","","http://rs.tdwg.org/dwc/terms/islandGroup"
"island","island","island","island","Island","island","","http://rs.tdwg.org/dwc/terms/island"
"country","country","country","country","Country","country","Country - parsed","The country where the specimen was collected or observation was made http://rs.tdwg.org/dwc/terms/country"
"countryCode","countryCode","countryCode","countryCode","Country Code","countryCode","","http://rs.tdwg.org/dwc/terms/countryCode"
"stateProvince","stateProvince","stateProvince","stateProvince","State/Territory","stateProvince","State - parsed","The state or territory matching the supplied coordinates http://rs.tdwg.org/dwc/terms/stateProvince"
"county","county","county","county","County","county","","http://rs.tdwg.org/dwc/terms/county"
"municipality","municipality","municipality","municipality","Municipality","municipality","","http://rs.tdwg.org/dwc/terms/municipality"
"locality","locality","locality","locality","Locality","locality","Locality","The locaility information that was supplied with the raw record. http://rs.tdwg.org/dwc/terms/locality"
"verbatimLocality","verbatimLocality","verbatimLocality","verbatimLocality","Verbatim Locality","verbatimLocality","","http://rs.tdwg.org/dwc/terms/verbatimLocality"
"minimumElevationInMeters","minimumElevationInMeters","minimumElevationInMeters","minimumElevationInMeters","Min elevation","minimumElevationInMeters","Minimum Elevation In Metres","Min altitude/elevation for this occurrence. http://rs.tdwg.org/dwc/terms/minimumElevationInMeters"
"maximumElevationInMeters","maximumElevationInMeters","maximumElevationInMeters","maximumElevationInMeters","Max elevation","maximumElevationInMeters","Maximum Elevation In Metres","Max altitude/elevation for this occurrence. http://rs.tdwg.org/dwc/terms/maximumElevationInMeters"
"verbatimElevation","verbatimElevation","verbatimElevation","verbatimElevation","Elevation","verbatimElevation","","http://rs.tdwg.org/dwc/terms/verbatimElevation"
"minimumDepthInMeters","minimumDepthInMeters","minimumDepthInMeters","minimumDepthInMeters","Minimum depth in metres","minimumDepthInMeters","Minimum Depth In Meters","Minimum depth in metres for this occurrence. http://rs.tdwg.org/dwc/terms/minimumDepthInMeters"
"maximumDepthInMeters","maximumDepthInMeters","maximumDepthInMeters","maximumDepthInMeters","Maximum depth in metres","maximumDepthInMeters","Maximum Depth In Meters","Maximum depth in metres for this occurrence as supplied by the data publisher http://rs.tdwg.org/dwc/terms/maximumDepthInMeters"
"verbatimDepth","verbatimDepth","verbatimDepth","verbatimDepth","Depth","verbatimDepth","","http://rs.tdwg.org/dwc/terms/verbatimDepth"
"minimumDistanceAboveSurfaceInMeters","minimumDistanceAboveSurfaceInMeters","minimumDistanceAboveSurfaceInMeters","minimumDistanceAboveSurfaceInMeters","Minimum Distance Above Surface In Meters","minimumDistanceAboveSurfaceInMeters","","http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters"
"maximumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","Maximum Distance Above Surface In Meters","maximumDistanceAboveSurfaceInMeters","","http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters"
"locationAccordingTo","locationAccordingTo","locationAccordingTo","locationAccordingTo","Location According To","locationAccordingTo","","http://rs.tdwg.org/dwc/terms/locationAccordingTo"
"locationRemarks","locationRemarks","locationRemarks","locationRemarks","Location Remarks","locationRemarks","","http://rs.tdwg.org/dwc/terms/locationRemarks"
"decimalLatitude","decimalLatitude","decimalLatitude","decimalLatitude","Latitude","decimalLatitude","Decimal latitude (WGS84)","The decimal latitude associated with this record. If the original latitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLatitude"
"decimalLongitude","decimalLongitude","decimalLongitude","decimalLongitude","Longitude","decimalLongitude","Decimal longitude (WGS84)","The decimal longitude associated with this record. If the original longitude was supplied in degrees, minutes, seconds, this value represents the converted value. http://rs.tdwg.org/dwc/terms/decimalLongitude"
"geodeticDatum","geodeticDatum","geodeticDatum","geodeticDatum","Datum","geodeticDatum","Geodetic datum","http://rs.tdwg.org/dwc/terms/geodeticDatum"
"coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","coordinateUncertaintyInMeters","Coordinate uncertainty (in metres)","coordinateUncertaintyInMeters","Coordinate Uncertainty in Metres","A radius in metres defining the smallest circle the location could occur within http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters"
"coordinatePrecision","coordinatePrecision","coordinatePrecision","coordinatePrecision","Coordinate precision","coordinatePrecision","Coordinate Precision","http://rs.tdwg.org/dwc/terms/coordinatePrecision"
"verbatimCoordinates","verbatimCoordinates","verbatimCoordinates","verbatimCoordinates","Verbatim Coordinates","verbatimCoordinates","","http://rs.tdwg.org/dwc/terms/verbatimCoordinates"
"verbatimLatitude","verbatimLatitude","verbatimLatitude","verbatimLatitude","Verbatim Latitude","verbatimLatitude","","http://rs.tdwg.org/dwc/terms/verbatimLatitude"
"verbatimLongitude","verbatimLongitude","verbatimLongitude","verbatimLongitude","Verbatim Longitude","verbatimLongitude","","http://rs.tdwg.org/dwc/terms/verbatimLongitude"
"verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimCoordinateSystem","Verbatim Coordinate System","verbatimCoordinateSystem","","http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem"
"verbatimSRS","verbatimSRS","verbatimSRS","verbatimSRS","Verbatim SRS","verbatimSRS","","http://rs.tdwg.org/dwc/terms/verbatimSRS"
"footprintWKT","footprintWKT","footprintWKT","footprintWKT","Footprint WKT","footprintWKT","","http://rs.tdwg.org/dwc/terms/footprintWKT"
"footprintSRS","footprintSRS","footprintSRS","footprintSRS","Footprint SRS","footprintSRS","","http://rs.tdwg.org/dwc/terms/footprintSRS"
"georeferencedDate","georeferencedDate","georeferencedDate","georeferencedDate","Georeferenced Date","georeferencedDate","","http://rs.tdwg.org/dwc/terms/georeferencedDate"
"georeferenceProtocol","georeferenceProtocol","georeferenceProtocol","georeferenceProtocol","Georeference Protocol","georeferenceProtocol","","http://rs.tdwg.org/dwc/terms/georeferenceProtocol"
"georeferenceSources","georeferenceSources","georeferenceSources","georeferenceSources","Georeference Sources","georeferenceSources","","http://rs.tdwg.org/dwc/terms/georeferenceSources"
"georeferenceRemarks","georeferenceRemarks","georeferenceRemarks","georeferenceRemarks","Georeference Remarks","georeferenceRemarks","","http://rs.tdwg.org/dwc/terms/georeferenceRemarks"
