"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr365","SA Fauna","10.15468/xsderl","© Crown in right of the State of South Australia, Department of Environment, Water and Natural Resources.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr365","- Data is supplied to ALA as held on BDBSA.
- Copies of third party datasets held by DEW are not available through SAFlora and SAFauna in ALA. 
- Information about BDBSA datasets is available through the DEW website ( http://apps.environment.sa.gov.au/emap/envmaps-query.do?cmd=su.SurveySummaryMain )","- DEW provides advice as required on restrictions to sensitive records.
- DEW perform standard filtering of BDBSA data prior to release. These standard filters include records considered questionable due to location or taxonomic issues and sub fossil records","","1958"
"dr4701","Koala Quest 2015","","Records provided by Koala Quest 2015, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr4701","","","","2295"
"dr19073","B4C Road Kill Map","10.15468/v6yv4z","Road Kill Map: Bulimba Creek Catchment Coordinating Committee (2023) Road Kill Map dataset
","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr19073","","","","6"
"dr368","NSW BioNet Atlas","10.15468/14jd9g","BioNet Species Sightings occurrence data held by the NSW Office of Environment and Heritage (OEH).   The BioNet repository holds data from a number of sources and custodians. (Accessed through ALA Data Portal,<Date of Access>).","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr368","","","","242066"
"dr23684","Cudgen Nature Reserve Habitat Restoration","","Cudgen Nature Reserve - Combined Site and Work Details: TWEED SHIRE COUNCIL (2025) Cudgen Nature Reserve - Combined Site and Work Details dataset
Cudgen Nature Reserve Habitat Restoration - Vegetation Monitoring: TWEED SHIRE COUNCIL (2025) Cudgen Nature Reserve Habitat Restoration - Vegetation Monitoring dataset
Cudgen Nature Reserve Habitat Restoration - Work Progress and Follow-up: TWEED SHIRE COUNCIL (2025) Cudgen Nature Reserve Habitat Restoration - Work Progress and Follow-up dataset
Cudgen Nature Reserve Habitat Restoration - Vegetation Monitoring Design: TWEED SHIRE COUNCIL (2025) Cudgen Nature Reserve Habitat Restoration - Vegetation Monitoring Design dataset
","other","For more information: https://collections.ala.org.au/public/show/dr23684","","","","5"
"dr2008","ACT Wildlife Atlas","10.15468/3bsmhl","Data supplied by the ACT Environment & Planning Directorate 2015","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr2008","","Some sensitive records have been withheld.","","6"
"dr364","ALA species sightings and OzAtlas","10.15468/jayxmn","Individual sighting: Atlas of Living Australia (2025) Individual sighting dataset
Test sighting: Atlas of Living Australia (2025) Test sighting dataset
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr364","","","","1620"
"dr30012","LACM Vertebrate Collection","10.15468/77rmwd","Mertz W, Ludt W, Clardy T, Robson S, Suh Y H, Camacho N (2024). LACM Vertebrate Collection. Version 18.15. Natural History Museum of Los Angeles County. Occurrence dataset https://doi.org/10.15468/77rmwd accessed via GBIF.org on 2025-02-12.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30012","","","","1"
"dp429","Koala Action Group","","Records provided by Koala Action Group, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp429","","","","1840"
"dr15033","Thredbo Park Bushcare Group","10.15468/qx77zj","Records provided by Thredbo Park Bushcare Group, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr15033","","","","1"
"co123","Western Australian Museum Mammal Collection","","Records provided by Western Australian Museum Mammal Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co123","","","","6"
"dr20943","Koala Mapping Mackay, Whitsundays & Central Queensland Areas","","Koala Mapping Mackay, Whitsundays & Central Queensland Areas: Padaminka Nature Refuge Koala Rescue & Care (2023) Koala Mapping Mackay, Whitsundays & Central Queensland Areas dataset
","other","For more information: https://collections.ala.org.au/public/show/dr20943","","","","1589"
"co166","South Australian Museum Australian Biological Tissue Collection","","Records provided by South Australian Museum Australian Biological Tissue Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co166","","","","24"
"dp20","OZCAM (Online Zoological Collections of Australian Museums) Provider","","Records provided by OZCAM (Online Zoological Collections of Australian Museums) Provider, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp20","","","","4789"
"dp5217","Australian Wildlife Conservancy","","Records provided by Australian Wildlife Conservancy, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp5217","","","","14"
"dr360","Encyclopedia of Life Images - Flickr Group","","Citation is at the individual image","Creative Commons - license at record level (Creative Commons - license at record level)","For more information: https://collections.ala.org.au/public/show/dr360","","","","30"
"dr22562","Warrumbungle Koala Project","","Warrumbungles Koala Project: Pilliga Environment Group (2023) Warrumbungles Koala Project dataset
","other","For more information: https://collections.ala.org.au/public/show/dr22562","","","","1"
"dr3147","Tweed Koala Sightings","10.15468/f0ce16","Koala Sightings: TWEED SHIRE COUNCIL (2025) Koala Sightings dataset
","Creative Commons Attribution-Noncommercial (Australia) (CC-BY-NC 3.0 (Aus))","For more information: https://collections.ala.org.au/public/show/dr3147","","","","1780"
"dr2696","Koala Count","10.15468/cgiuqh","Koala Sighting: Koala Action Group QLD Inc. (2023) Koala Sighting dataset
","Creative Commons Attribution-Noncommercial (Australia) (CC-BY-NC 3.0 (Aus))","For more information: https://collections.ala.org.au/public/show/dr2696","","","","1840"
"co249","Auckland War Memorial Museum  Herbarium","","Records provided by Auckland War Memorial Museum  Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co249","","","","1"
"dr30629","Field Museum of Natural History (Zoology) Mammal Collection","10.15468/n4zgxw","Grant S, Webbink K, Jones J, Ferguson A (2020). Field Museum of Natural History (Zoology) Mammal Collection. Version 9.18. Field Museum. Occurrence dataset https://doi.org/10.15468/n4zgxw accessed via GBIF.org on 2025-03-11.","Creative Commons Zero (CC0)","For more information: https://collections.ala.org.au/public/show/dr30629","","","","6"
"co126","South Australian Museum Mammalogy Collection","","Records provided by South Australian Museum Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co126","","","","75"
"dr7706","Thornlands and surrounds avifauna and herpetofauna surveys","10.15468/gt0v1t","Ross McMillan - ALA Survey #35850","CC-BY","For more information: https://collections.ala.org.au/public/show/dr7706","null","null","","1"
"dr1008","The Great Koala Count South Australia","10.15468/f3fwoh","Great Koala Count, South Australia. 2012","CC-BY","For more information: https://collections.ala.org.au/public/show/dr1008","","","","1822"
"in34","Western Australian Museum","","Records provided by Western Australian Museum, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in34","","","","6"
"dr19123","NatureMapr","10.15468/uye32x","Records provided by NatureMapr, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution 3.0 (Australia)","For more information: https://collections.ala.org.au/public/show/dr19123","","","","401"
"co292","OWAD Environment","","Records provided by OWAD Environment, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co292","","","","2727"
"dr714","Gaia Guide","10.15468/i1bc3o","Records provided by Gaia Guide, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 3.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr714","","","","2"
"dp29","Flickr","","Records provided by Flickr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp29","","","","30"
"dr799","National Parks Association of NSW Great Koala Count","10.15468/9ci985","National Parks Association of NSW, Great Koala Count","CC-BY","For more information: https://collections.ala.org.au/public/show/dr799","","","","2158"
"dr635","NatureShare","10.15468/4cqg2v","Records provided by NatureShare, accessed through ALA website.","CC-BY Images are CC-BY 2.5, Data is CC-BY-NC 3.0.","For more information: https://collections.ala.org.au/public/show/dr635","","","","46"
